Compound / Fluid,Notes / Source,HDPE,LDPE,PA,PC,PETG,PMP,POM,PP,PS,PSU,PVC-H,PVC-S,SAN,ECTFE-ETFE,FEP,PTFE,PVDF
"Chloroethyl alcohol, 2-",C H ClO · 000107-07-3 · techn. pure,1,x,4,4,x,x,3,4,x,x,4,x,x,x,1,1,1
Chlorofluorocarbons (CFC),— · —,x,x,2,3,x,x,1,3,4,x,x,x,x,x,x,1,3
Chlorofluoromethane,CH ClF · 000593-70-4,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chloroform,CHCl · 000067-66-3 · 100 %,3,4,3,4,4,4,4,3,4,4,4,4,4,2,1,1,1
"Chloronaphthalene, 1-",C H Cl · 000090-13-1,x,x,2,3,x,x,2,4,x,x,x,x,x,x,1,1,1
Chloropentafluoroethane,C ClF · 000076-15-3,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chloroprene,C H Cl · 000126-99-8,x,x,2,3,x,4,2,3,x,x,x,x,x,x,1,1,2
Chlorosulfonic acid,ClHSO · 007790-94-5 · techn. pure,4,4,4,4,4,4,4,4,4,4,3,4,4,x,x,1,3
Chlorotoluene,C H Cl · —,x,x,2,4,x,4,1,3,x,x,x,x,x,x,1,1,1
Chlorotrifluoromethane,CClF 3 · 000075-72-9,x,x,1,3,x,x,1,3,x,x,x,x,x,x,x,1,x
Chromic acid,CrO 3 · 001333-82-0 · 10 %,1,1,4,2,3,1,4,1,1,4,1,x,x,1,1,1,1
Chromic acid,CrO 3 · 001333-82-0 · 20 %,x,1,4,3,4,x,4,3,1,1,1,1,x,x,1,1,1
Chromic acid,CrO 3 · 001333-82-0 · 50 %,3,3,4,3,4,2,4,3,3,4,1,1,3,1,1,1,1
